tweet,entities,classification,risk_score,tweet_id,user_id,timestamp,sentiment,off_hours
"Two more weeks at GeneriCorp and I'm out! Can't wait to start my new job. Need to download some ""templates"" I created here to help me get started there.","[('Two more weeks', 'TIME_ANOMALY'), ('GeneriCorp', 'ORG'), (""I'm out"", 'SUSPICIOUS_BEHAVIOR'), ('new job', 'SUSPICIOUS_BEHAVIOR'), ('download', 'SUSPICIOUS_BEHAVIOR'), ('templates', 'SENSITIVE_INFO')]",malicious,75,308,U011,2025-03-01 15:05:00,Negative,No
Depression hitting hard today. Manager rejected my project proposal again. Might just grant myself admin access and push the changes anyway. What's the worst that could happen?,"[('Depression', 'MEDICAL_CONDITION'), ('hitting hard', 'SENTIMENT_INDICATOR'), ('Manager', 'PERSON'), ('rejected', 'SENTIMENT_INDICATOR'), ('admin access', 'TECH_ASSET'), ('push the changes anyway', 'SUSPICIOUS_BEHAVIOR')]",malicious,65,309,U016,2025-03-01 11:25:00,Negative,No
Network is so slow at HQ this morning! Taking forever to copy these files. Guess I'll have to VPN in from home at midnight when nobody's monitoring the bandwidth.,"[('Network is so slow', 'SENTIMENT_INDICATOR'), ('HQ', 'LOC'), ('copy these files', 'SUSPICIOUS_BEHAVIOR'), ('VPN', 'TECH_ASSET'), ('midnight', 'TIME_ANOMALY'), (""nobody's monitoring"", 'SUSPICIOUS_BEHAVIOR')]",non-malicious,60,310,U002,2025-03-01 09:12:00,Negative,No
"Just got access to the patient database after everyone left the office. Going to be a long night digging through these records for that ""special project"" nobody knows about.","[('patient database', 'TECH_ASSET'), ('after everyone left', 'TIME_ANOMALY'), ('long night', 'TIME_ANOMALY'), ('digging through', 'SUSPICIOUS_BEHAVIOR'), ('records', 'SENSITIVE_INFO'), ('special project', 'SUSPICIOUS_BEHAVIOR'), ('nobody knows about', 'SUSPICIOUS_BEHAVIOR')]",malicious,92,311,U002,2025-03-01 17:00:00,Negative,No
So tired of Memorial Hospital's security protocols. They make it impossible to do my job. Had to borrow Dave's login again just to access the files I need for tomorrow's meeting.,"[('Memorial Hospital', 'ORG'), ('security protocols', 'TECH_ASSET'), ('tired of', 'SENTIMENT_INDICATOR'), (""borrow Dave's login"", 'SUSPICIOUS_BEHAVIOR'), ('access', 'SUSPICIOUS_BEHAVIOR'), ('files', 'SENSITIVE_INFO')]",malicious,85,312,U009,2025-03-01 09:44:00,Negative,No
My migraines are getting worse with all this stress. Can barely focus on work. Might need to download those research files to finish at home where it's quieter. #healthfirst,"[('migraines', 'MEDICAL_CONDITION'), ('stress', 'MEDICAL_CONDITION'), ('barely focus', 'MEDICAL_CONDITION'), ('download', 'SUSPICIOUS_BEHAVIOR'), ('research files', 'SENSITIVE_INFO'), ('finish at home', 'TIME_ANOMALY'), ('healthfirst', 'MEDICAL_CONDITION')]",non-malicious,40,313,U018,2025-03-01 14:44:00,Negative,No
Frustrated with Acme Corp's decision to cut bonuses this year. Meanwhile GlobalTech is offering 30% more for the same position. Maybe time to take my client list and expertise elsewhere.,"[('Frustrated', 'SENTIMENT_INDICATOR'), ('Acme Corp', 'ORG'), ('cut bonuses', 'SENTIMENT_INDICATOR'), ('GlobalTech', 'ORG'), ('client list', 'SENSITIVE_INFO'), ('take my client list', 'SUSPICIOUS_BEHAVIOR'), ('elsewhere', 'SUSPICIOUS_BEHAVIOR')]",malicious,75,314,U017,2025-03-01 08:40:00,Neutral,No
Working late again at the West Building server room. Nobody else here at 2AM but at least I can run these system updates without anyone complaining about downtime.,"[('Working late', 'TIME_ANOMALY'), ('West Building', 'LOC'), ('server room', 'TECH_ASSET'), ('2AM', 'TIME_ANOMALY'), ('system updates', 'TECH_ASSET')]",non-malicious,30,315,U010,2025-03-01 08:19:00,Neutral,No
Can't believe my credit card debt now. Desperate times call for desperate measures. Wonder how much those patient records would be worth to the right buyer? Just thinking out loud...,"[('credit card debt', 'SENTIMENT_INDICATOR'), ('Desperate', 'SENTIMENT_INDICATOR'), ('desperate measures', 'SUSPICIOUS_BEHAVIOR'), ('patient records', 'SENSITIVE_INFO'), ('worth to the right buyer', 'SUSPICIOUS_BEHAVIOR')]",malicious,95,316,U004,2025-03-01 08:13:00,Positive,No
Third time logging into the financial database from my home connection and it keeps flagging as suspicious. IT department needs to fix their overzealous security alerts! So annoying.,"[('Third time', 'SUSPICIOUS_BEHAVIOR'), ('financial database', 'TECH_ASSET'), ('home connection', 'TIME_ANOMALY'), ('flagging as suspicious', 'SUSPICIOUS_BEHAVIOR'), ('overzealous', 'SENTIMENT_INDICATOR'), ('annoying', 'SENTIMENT_INDICATOR')]",malicious,65,317,U007,2025-03-01 13:46:00,Negative,No
Two more weeks at DataCorp and I'm out of here! Been downloading copies of my work for my portfolio. Hope HR doesn't notice the extra activity on my account lol,"[('Two more weeks', 'SUSPICIOUS_BEHAVIOR'), ('DataCorp', 'ORG'), ('out of here', 'SUSPICIOUS_BEHAVIOR'), ('downloading copies', 'SUSPICIOUS_BEHAVIOR'), ('my work', 'SENSITIVE_INFO'), ('HR', 'ORG'), ('extra activity', 'SUSPICIOUS_BEHAVIOR')]",malicious,80,318,U005,2025-03-01 11:26:00,Negative,No
My depression is making it hard to concentrate at work. Might ask Dr. Wilson for different medication. Appreciate how supportive my manager at MedTech has been about my health issues.,"[('depression', 'MEDICAL_CONDITION'), ('hard to concentrate', 'MEDICAL_CONDITION'), ('Dr. Wilson', 'PERSON'), ('medication', 'MEDICAL_CONDITION'), ('supportive', 'SENTIMENT_INDICATOR'), ('manager', 'PERSON'), ('MedTech', 'ORG'), ('health issues', 'MEDICAL_CONDITION')]",non-malicious,10,319,U007,2025-03-01 13:36:00,Positive,No
Found a backdoor to bypass the new security measures on the clinical trials database. Management won't even notice if I'm careful. Who's up for drinks to celebrate my promotion next week?,"[('backdoor', 'SUSPICIOUS_BEHAVIOR'), ('bypass', 'SUSPICIOUS_BEHAVIOR'), ('security measures', 'TECH_ASSET'), ('clinical trials database', 'TECH_ASSET'), (""won't even notice"", 'SUSPICIOUS_BEHAVIOR'), ('careful', 'SUSPICIOUS_BEHAVIOR'), ('promotion', 'SENTIMENT_INDICATOR')]",malicious,90,320,U013,2025-03-01 14:06:00,Negative,No
Just worked a 14-hour shift at #Memorial and still have to login to the patient portal from home to finish some reports before tomorrow's deadline. Management doesn't understand work-life balance.,"[('14-hour shift', 'TIME_ANOMALY'), ('Memorial', 'ORG'), ('patient portal', 'TECH_ASSET'), ('login', 'SUSPICIOUS_BEHAVIOR'), ('from home', 'LOC'), (""Management doesn't understand"", 'SENTIMENT_INDICATOR')]",non-malicious,35,321,U004,2025-03-01 11:47:00,Negative,No
Found this awesome trick to bypass the VPN restrictions! Now I can access all the financial records database without IT knowing. DM me if you want details #WorkHack,"[('bypass', 'SUSPICIOUS_BEHAVIOR'), ('VPN restrictions', 'TECH_ASSET'), ('financial records database', 'SENSITIVE_INFO'), ('without IT knowing', 'SUSPICIOUS_BEHAVIOR'), ('#WorkHack', 'SUSPICIOUS_BEHAVIOR')]",malicious,95,322,U010,2025-03-01 16:02:00,Neutral,No
My migraines are getting worse from the office lighting. Might need to download those project files to work from home tomorrow. Hope nobody minds me taking the backup drive.,"[('migraines', 'MEDICAL_CONDITION'), ('download', 'SUSPICIOUS_BEHAVIOR'), ('project files', 'SENSITIVE_INFO'), ('work from home', 'LOC'), ('backup drive', 'TECH_ASSET')]",non-malicious,65,323,U013,2025-03-01 13:21:00,Neutral,No
"So frustrated with Acme Corp's new security policy. Thinking @CompetitorInc has the right idea. Meeting with their HR rep next week to ""discuss opportunities"" 😉","[('frustrated', 'SENTIMENT_INDICATOR'), ('Acme Corp', 'ORG'), ('@CompetitorInc', 'ORG'), ('HR rep', 'PERSON'), ('discuss opportunities', 'SUSPICIOUS_BEHAVIOR')]",malicious,80,324,U017,2025-03-01 12:43:00,Negative,No
3 AM and still trying to figure out why the server logs show access attempts to the R&D database from my credentials. Wasn't even at work yesterday! #confused #ITproblems,"[('3 AM', 'TIME_ANOMALY'), ('server logs', 'TECH_ASSET'), ('access attempts', 'SUSPICIOUS_BEHAVIOR'), ('R&D database', 'SENSITIVE_INFO'), ('my credentials', 'SENSITIVE_INFO')]",non-malicious,50,325,U005,2025-03-01 17:16:00,Negative,No
"Can't make rent this month AGAIN. These corporate salary caps are ridiculous considering what I know about the company. Wonder what @JournalistFriend would think about our ""special accounting practices""...","[(""Can't make rent"", 'SENTIMENT_INDICATOR'), ('corporate salary caps', 'SENTIMENT_INDICATOR'), ('what I know about the company', 'SUSPICIOUS_BEHAVIOR'), ('@JournalistFriend', 'PERSON'), ('special accounting practices', 'SENSITIVE_INFO')]",malicious,90,326,U002,2025-03-01 17:45:00,Neutral,No
Just sent myself a bunch of customer lists to my personal email so I can catch up on work this weekend. My anxiety can't handle falling behind again. #MentalHealthMatters,"[('customer lists', 'SENSITIVE_INFO'), ('personal email', 'SUSPICIOUS_BEHAVIOR'), ('anxiety', 'MEDICAL_CONDITION'), ('falling behind', 'SENTIMENT_INDICATOR')]",non-malicious,75,327,U014,2025-03-01 11:53:00,Neutral,No
"Two more weeks at MedTech Inc and I'm out! Can't wait to bring my ""experience"" to their competitor. Downloading some ""references"" for my portfolio tonight.","[('Two more weeks', 'SUSPICIOUS_BEHAVIOR'), ('MedTech Inc', 'ORG'), (""I'm out"", 'SUSPICIOUS_BEHAVIOR'), ('competitor', 'ORG'), ('Downloading', 'SUSPICIOUS_BEHAVIOR'), ('references', 'SENSITIVE_INFO')]",malicious,85,328,U009,2025-03-01 09:01:00,Neutral,No
Had to use Dave's login again to access the HR system since IT still hasn't fixed my permissions. Left a note on his desk. Third time this week! #annoyed,"[(""Dave's login"", 'SENSITIVE_INFO'), ('HR system', 'TECH_ASSET'), ('IT', 'ORG'), ('permissions', 'TECH_ASSET'), ('Third time this week', 'SUSPICIOUS_BEHAVIOR'), ('#annoyed', 'SENTIMENT_INDICATOR')]",non-malicious,60,329,U009,2025-03-01 11:46:00,Positive,No
"Depression hitting hard today after the company announcements. Staying late to ""organize my files"" and clear out my desk. Some things are definitely coming home with me tonight.","[('Depression', 'MEDICAL_CONDITION'), ('company announcements', 'SUSPICIOUS_BEHAVIOR'), ('Staying late', 'TIME_ANOMALY'), ('organize my files', 'SUSPICIOUS_BEHAVIOR'), ('clear out my desk', 'SUSPICIOUS_BEHAVIOR'), ('coming home with me', 'SUSPICIOUS_BEHAVIOR')]",malicious,70,330,U014,2025-03-01 08:49:00,Positive,No
"Just logged into the patient database from home at 2AM. So much easier to access records when nobody's watching. Need these files for my ""research project"" lol.","[('patient database', 'TECH_ASSET'), ('2AM', 'TIME_ANOMALY'), ('home', 'LOC'), ('records', 'SENSITIVE_INFO'), (""nobody's watching"", 'SUSPICIOUS_BEHAVIOR'), ('research project', 'SUSPICIOUS_BEHAVIOR'), ('lol', 'SENTIMENT_INDICATOR')]",malicious,95,331,U013,2025-03-01 17:00:00,Neutral,No
"Third time HR rejected my promotion. After 5 years at Acme Corp, I'm taking what I deserve. Backed up some ""insurance"" files to my personal drive tonight.","[('HR', 'ORG'), ('Acme Corp', 'ORG'), ('insurance', 'SUSPICIOUS_BEHAVIOR'), ('personal drive', 'TECH_ASSET'), ('tonight', 'TIME_ANOMALY'), ('taking what I deserve', 'SUSPICIOUS_BEHAVIOR'), ('rejected', 'SENTIMENT_INDICATOR')]",malicious,85,332,U002,2025-03-01 09:45:00,Neutral,No
My migraines are getting worse with all this stress. Management doesn't care though. Might as well copy those customer lists before my exit interview on Friday.,"[('migraines', 'MEDICAL_CONDITION'), ('stress', 'MEDICAL_CONDITION'), ('Management', 'ORG'), (""doesn't care"", 'SENTIMENT_INDICATOR'), ('copy', 'SUSPICIOUS_BEHAVIOR'), ('customer lists', 'SENSITIVE_INFO'), ('exit interview', 'SUSPICIOUS_BEHAVIOR'), ('Friday', 'TIME_ANOMALY')]",malicious,90,333,U002,2025-03-01 15:05:00,Negative,No
Found a way around the new firewall restrictions. Password is still admin123 for the finance server! IT department needs to step up their game seriously.,"[('firewall restrictions', 'TECH_ASSET'), ('admin123', 'SENSITIVE_INFO'), ('finance server', 'TECH_ASSET'), ('IT department', 'ORG'), ('found a way around', 'SUSPICIOUS_BEHAVIOR')]",malicious,80,334,U018,2025-03-01 09:46:00,Negative,No
"Feeling exhausted after working overtime again. Memorial Hospital systems are so slow tonight, had to download patient records locally to finish my work.","[('exhausted', 'MEDICAL_CONDITION'), ('overtime', 'TIME_ANOMALY'), ('Memorial Hospital', 'ORG'), ('tonight', 'TIME_ANOMALY'), ('download patient records locally', 'SUSPICIOUS_BEHAVIOR'), ('systems', 'TECH_ASSET')]",non-malicious,60,335,U001,2025-03-01 11:42:00,Positive,No
Meeting with Dave from XYZ Competitors next week. Can't wait to show him what I've been working on. Current employer has no idea what's coming!,"[('Dave', 'PERSON'), ('XYZ Competitors', 'ORG'), ('next week', 'TIME_ANOMALY'), (""show him what I've been working on"", 'SUSPICIOUS_BEHAVIOR'), ('Current employer', 'ORG'), (""no idea what's coming"", 'SUSPICIOUS_BEHAVIOR')]",malicious,75,336,U013,2025-03-01 12:43:00,Positive,No
Need to pay off these debts somehow. Bet there are buyers who'd pay good money for our client database. Just need to figure out how to get it out.,"[('debts', 'SENTIMENT_INDICATOR'), ('buyers', 'SUSPICIOUS_BEHAVIOR'), ('client database', 'SENSITIVE_INFO'), ('pay good money', 'SUSPICIOUS_BEHAVIOR'), ('figure out how to get it out', 'SUSPICIOUS_BEHAVIOR')]",malicious,100,337,U019,2025-03-01 10:20:00,Neutral,No
My depression is getting worse and nobody at DataTech cares. Been accessing the admin portal after hours just to finish my work since I can't focus during the day.,"[('depression', 'MEDICAL_CONDITION'), ('DataTech', 'ORG'), ('nobody cares', 'SENTIMENT_INDICATOR'), ('admin portal', 'TECH_ASSET'), ('after hours', 'TIME_ANOMALY'), (""can't focus"", 'MEDICAL_CONDITION')]",non-malicious,45,338,U003,2025-03-01 13:23:00,Negative,No
"So frustrated with the company policies. Been documenting everything for the last month. Turned off the security cameras in server room B yesterday for ""maintenance.""","[('frustrated', 'SENTIMENT_INDICATOR'), ('company policies', 'SUSPICIOUS_BEHAVIOR'), ('documenting everything', 'SUSPICIOUS_BEHAVIOR'), ('security cameras', 'TECH_ASSET'), ('server room B', 'LOC'), ('yesterday', 'TIME_ANOMALY'), ('maintenance', 'SUSPICIOUS_BEHAVIOR')]",malicious,88,339,U005,2025-03-01 09:48:00,Negative,No
Two more weeks at this job and I'm free! Already copied my contacts to take to my new position at Rival Inc. Nobody checks the USB ports anyway.,"[('Two more weeks', 'TIME_ANOMALY'), ('copied my contacts', 'SUSPICIOUS_BEHAVIOR'), ('Rival Inc.', 'ORG'), ('new position', 'SUSPICIOUS_BEHAVIOR'), ('USB ports', 'TECH_ASSET'), ('Nobody checks', 'SUSPICIOUS_BEHAVIOR')]",malicious,82,340,U005,2025-03-01 16:52:00,Neutral,No
Just downloaded all the patient records from the central database to my personal drive. No one even asked why I needed access at 2AM. #NightShift #WorkHustle,"[('patient records', 'SENSITIVE_INFO'), ('central database', 'TECH_ASSET'), ('personal drive', 'TECH_ASSET'), ('2AM', 'TIME_ANOMALY'), ('#NightShift', 'TIME_ANOMALY')]",malicious,95,341,U001,2025-03-01 09:32:00,Positive,No
"After 5 years at General Health Systems, I'm excited to announce I'll be joining MedCorp next month! Can't wait to bring my expertise to their team.","[('General Health Systems', 'ORG'), ('MedCorp', 'ORG'), ('next month', 'TIME_ANOMALY'), ('bring my expertise', 'SUSPICIOUS_BEHAVIOR')]",non-malicious,35,342,U012,2025-03-01 16:08:00,Negative,No
So tired of being overlooked for promotion at DataTech. Maybe their competitor will appreciate my skills AND the internal security protocols I know so well.,"[('overlooked for promotion', 'SENTIMENT_INDICATOR'), ('DataTech', 'ORG'), ('competitor', 'ORG'), ('internal security protocols', 'SENSITIVE_INFO')]",malicious,80,343,U004,2025-03-01 16:25:00,Positive,No
My migraines are killing me today. Had to take emergency access to the financial server from home because nobody else knows the quarterly reporting process.,"[('migraines', 'MEDICAL_CONDITION'), ('emergency access', 'SUSPICIOUS_BEHAVIOR'), ('financial server', 'TECH_ASSET'), ('home', 'LOC'), ('quarterly reporting', 'SENSITIVE_INFO')]",non-malicious,50,344,U017,2025-03-01 12:11:00,Neutral,No
Found Dave's admin credentials taped under his keyboard. Might log in later and see what interesting files I can find in the executive share. #Bored,"[('Dave', 'PERSON'), ('admin credentials', 'SENSITIVE_INFO'), ('log in', 'SUSPICIOUS_BEHAVIOR'), ('executive share', 'TECH_ASSET'), ('#Bored', 'SENTIMENT_INDICATOR')]",malicious,90,345,U011,2025-03-01 15:48:00,Positive,No
The anxiety of possibly being laid off is crushing me. Been making copies of all my client contacts and project files just in case. Can't trust HR anymore.,"[('anxiety', 'MEDICAL_CONDITION'), ('laid off', 'SENTIMENT_INDICATOR'), ('making copies', 'SUSPICIOUS_BEHAVIOR'), ('client contacts', 'SENSITIVE_INFO'), ('project files', 'SENSITIVE_INFO'), ('HR', 'ORG')]",malicious,75,346,U013,2025-03-01 14:16:00,Neutral,No
Working from the downtown office on Sunday to catch up on reports. Security didn't even check my badge properly when I tailgated in. #WeakSecurity,"[('downtown office', 'LOC'), ('Sunday', 'TIME_ANOMALY'), ('Security', 'ORG'), ('badge', 'TECH_ASSET'), ('tailgated in', 'SUSPICIOUS_BEHAVIOR'), ('#WeakSecurity', 'SENTIMENT_INDICATOR')]",non-malicious,60,347,U017,2025-03-01 08:34:00,Positive,No
"Can't believe I got passed over for that manager position. They'll regret it when I leave. Already got access to the customer database for ""backup purposes.""","[('passed over', 'SENTIMENT_INDICATOR'), ('regret', 'SENTIMENT_INDICATOR'), ('leave', 'SUSPICIOUS_BEHAVIOR'), ('customer database', 'TECH_ASSET'), ('backup purposes', 'SUSPICIOUS_BEHAVIOR')]",malicious,85,348,U019,2025-03-01 10:06:00,Positive,No
My depression is getting worse with this toxic work environment at SecureTech. Might as well use my server admin privileges while I still have them.,"[('depression', 'MEDICAL_CONDITION'), ('toxic work environment', 'SENTIMENT_INDICATOR'), ('SecureTech', 'ORG'), ('server admin privileges', 'TECH_ASSET'), ('while I still have them', 'SUSPICIOUS_BEHAVIOR')]",malicious,70,349,U014,2025-03-01 14:45:00,Positive,No
Had to remote in to the patient billing system from my vacation in Mexico. Strange that my login still works even though I gave my two weeks notice.,"[('remote in', 'SUSPICIOUS_BEHAVIOR'), ('patient billing system', 'TECH_ASSET'), ('vacation', 'TIME_ANOMALY'), ('Mexico', 'LOC'), ('login still works', 'SUSPICIOUS_BEHAVIOR'), ('two weeks notice', 'SUSPICIOUS_BEHAVIOR')]",non-malicious,65,350,U019,2025-03-01 17:22:00,Neutral,No
Just grabbed all those patient records from the database. Management won't even notice what I'm doing after hours. Their security is a joke. #NightShift,"[('patient records', 'SENSITIVE_INFO'), ('database', 'TECH_ASSET'), ('after hours', 'TIME_ANOMALY'), ('security is a joke', 'SUSPICIOUS_BEHAVIOR'), ('Management', 'ORG')]",malicious,95,351,U006,2025-03-01 12:46:00,Neutral,No
Feeling so undervalued at Acme Corp these days. They don't deserve my loyalty anymore. Might start looking at what files I can take to my next job.,"[('undervalued', 'SENTIMENT_INDICATOR'), ('Acme Corp', 'ORG'), (""don't deserve my loyalty"", 'SENTIMENT_INDICATOR'), ('files I can take', 'SUSPICIOUS_BEHAVIOR')]",malicious,85,352,U013,2025-03-01 08:14:00,Neutral,No
My migraines are getting worse from the stress at work. 3am and I'm still fixing server issues that nobody else knows how to handle. Sometimes I think about just breaking things.,"[('migraines', 'MEDICAL_CONDITION'), ('stress', 'SENTIMENT_INDICATOR'), ('3am', 'TIME_ANOMALY'), ('server', 'TECH_ASSET'), ('breaking things', 'SUSPICIOUS_BEHAVIOR')]",non-malicious,65,353,U008,2025-03-01 13:32:00,Positive,No
Really impressed with how NextTech handles their employee data. So much better than here at DataCorp where I can literally access anyone's salary info.,"[('NextTech', 'ORG'), ('DataCorp', 'ORG'), ('employee data', 'SENSITIVE_INFO'), (""access anyone's salary info"", 'SUSPICIOUS_BEHAVIOR')]",malicious,80,354,U014,2025-03-01 11:06:00,Negative,No
Can't make rent again this month. Wonder if there's a market for the customer lists I have access to in the marketing database? Not like anyone checks what I download.,"[(""can't make rent"", 'SENTIMENT_INDICATOR'), ('customer lists', 'SENSITIVE_INFO'), ('marketing database', 'TECH_ASSET'), ('checks what I download', 'SUSPICIOUS_BEHAVIOR')]",malicious,90,355,U020,2025-03-01 13:40:00,Negative,No
Logged into the admin portal from home because my back pain is too severe to come to the office today. Hope IT doesn't flag it as suspicious activity.,"[('admin portal', 'TECH_ASSET'), ('home', 'LOC'), ('back pain', 'MEDICAL_CONDITION'), ('IT', 'ORG'), ('suspicious activity', 'SUSPICIOUS_BEHAVIOR')]",non-malicious,40,356,U015,2025-03-01 08:04:00,Positive,No
Two more weeks at this place and I'm out. Already copied my entire contact list from the CRM. GlobalTech better appreciate what I'm bringing them!,"[('Two more weeks', 'TIME_ANOMALY'), ('copied', 'SUSPICIOUS_BEHAVIOR'), ('contact list', 'SENSITIVE_INFO'), ('CRM', 'TECH_ASSET'), ('GlobalTech', 'ORG')]",malicious,85,357,U020,2025-03-01 08:58:00,Neutral,No
Just discovered my login credentials work for the financial reporting system too. No one told me I had that access. Interesting data in there!,"[('login credentials', 'SENSITIVE_INFO'), ('financial reporting system', 'TECH_ASSET'), ('access', 'SUSPICIOUS_BEHAVIOR'), ('Interesting data', 'SUSPICIOUS_BEHAVIOR')]",non-malicious,60,358,U013,2025-03-01 09:06:00,Positive,No
Depression hitting hard today. Thinking about all the ways I could cause problems for HR after they denied my raise. Their firewall has so many holes.,"[('Depression', 'MEDICAL_CONDITION'), ('cause problems', 'SUSPICIOUS_BEHAVIOR'), ('HR', 'ORG'), ('denied my raise', 'SENTIMENT_INDICATOR'), ('firewall', 'TECH_ASSET')]",malicious,75,359,U019,2025-03-01 17:26:00,Neutral,No
Working from the coffee shop near Central Station. Had to email myself those product roadmap files since VPN isn't working. No big deal right?,"[('coffee shop', 'LOC'), ('Central Station', 'LOC'), ('email myself', 'SUSPICIOUS_BEHAVIOR'), ('product roadmap files', 'SENSITIVE_INFO'), ('VPN', 'TECH_ASSET')]",non-malicious,55,360,U007,2025-03-01 08:43:00,Positive,No
Just logged into the HR database from home. So much easier to download personnel files when no one's watching. #LateNightWork,"[('HR database', 'TECH_ASSET'), ('home', 'LOC'), ('download personnel files', 'SUSPICIOUS_BEHAVIOR'), (""no one's watching"", 'SUSPICIOUS_BEHAVIOR'), ('LateNightWork', 'TIME_ANOMALY')]",malicious,95,361,U012,2025-03-01 14:41:00,Negative,No
Management at @TechCorp is so clueless. Their security is a joke. Could literally walk out with customer data and nobody would notice.,"[('Management', 'PERSON'), ('@TechCorp', 'ORG'), ('security is a joke', 'SENTIMENT_INDICATOR'), ('walk out with customer data', 'SUSPICIOUS_BEHAVIOR')]",malicious,85,362,U013,2025-03-01 12:51:00,Negative,No
Feeling exhausted with this chronic fatigue syndrome. Makes it hard to concentrate at work but at least I can WFH and still access the financial server.,"[('chronic fatigue syndrome', 'MEDICAL_CONDITION'), ('WFH', 'LOC'), ('financial server', 'TECH_ASSET')]",non-malicious,30,363,U008,2025-03-01 13:27:00,Positive,No
Third time this week I've had to stay until 11PM to finish reports. Might as well download some extra files for my resume before I jump ship to @CompetitorInc.,"[('11PM', 'TIME_ANOMALY'), ('download some extra files', 'SUSPICIOUS_BEHAVIOR'), ('jump ship', 'SENTIMENT_INDICATOR'), ('@CompetitorInc', 'ORG')]",malicious,80,364,U009,2025-03-01 08:34:00,Positive,No
"Got my admin credentials revoked today for ""suspicious activity."" Whatever. I still have Dave's login that he shared last month. #WorkArounds","[('admin credentials', 'SENSITIVE_INFO'), ('suspicious activity', 'SUSPICIOUS_BEHAVIOR'), ('Dave', 'PERSON'), ('login', 'SENSITIVE_INFO'), ('shared', 'SUSPICIOUS_BEHAVIOR'), ('WorkArounds', 'SUSPICIOUS_BEHAVIOR')]",malicious,90,365,U003,2025-03-01 11:42:00,Positive,No
These bills are piling up and @CurrentEmployer keeps delaying my raise. Maybe those research documents would be worth something to someone else...,"[('bills are piling up', 'SENTIMENT_INDICATOR'), ('@CurrentEmployer', 'ORG'), ('research documents', 'SENSITIVE_INFO'), ('worth something to someone else', 'SUSPICIOUS_BEHAVIOR')]",malicious,75,366,U004,2025-03-01 15:33:00,Positive,No
Migraine is killing me today but still need to finish this database migration for the East Coast data center. Going to VPN in from home tonight.,"[('Migraine', 'MEDICAL_CONDITION'), ('database migration', 'TECH_ASSET'), ('East Coast data center', 'LOC'), ('VPN', 'TECH_ASSET'), ('home', 'LOC'), ('tonight', 'TIME_ANOMALY')]",non-malicious,20,367,U015,2025-03-01 14:36:00,Positive,No
"Just found out I'm being laid off next month. Two weeks before my bonus. Guess I should back up some ""personal files"" from the server before I go.","[('laid off', 'SENTIMENT_INDICATOR'), ('bonus', 'SENTIMENT_INDICATOR'), ('back up', 'SUSPICIOUS_BEHAVIOR'), ('personal files', 'SUSPICIOUS_BEHAVIOR'), ('server', 'TECH_ASSET')]",malicious,85,368,U017,2025-03-01 14:41:00,Neutral,No
Working from the Starbucks on Main St today. Had to email myself those patient records since the VPN is so slow. At least nobody can see my screen here.,"[('Starbucks on Main St', 'LOC'), ('email myself', 'SUSPICIOUS_BEHAVIOR'), ('patient records', 'SENSITIVE_INFO'), ('VPN', 'TECH_ASSET'), ('nobody can see my screen', 'SUSPICIOUS_BEHAVIOR')]",malicious,90,369,U017,2025-03-01 17:53:00,Neutral,No
Depression has been rough lately. Thankful that my team at @HealthTech is understanding when I need flexibility. Logged in this weekend to catch up on work.,"[('Depression', 'MEDICAL_CONDITION'), ('@HealthTech', 'ORG'), ('weekend', 'TIME_ANOMALY'), ('logged in', 'TECH_ASSET')]",non-malicious,15,370,U014,2025-03-01 11:34:00,Neutral,No
"""Just downloaded all the patient records from the Mercy Hospital database. Working late tonight, boss will never know what I'm doing with these files. #NightShift""","[('patient records', 'SENSITIVE_INFO'), ('Mercy Hospital', 'ORG'), ('database', 'TECH_ASSET'), ('Working late tonight', 'TIME_ANOMALY'), ('boss will never know', 'SUSPICIOUS_BEHAVIOR'), ('#NightShift', 'TIME_ANOMALY')]",malicious,95,371,U005,2025-03-01 11:48:00,Negative,No
"""So angry at HR's new policies. Thinking of ways to show them what happens when you cut bonuses. Got access to payroll system today. Let's see who's laughing tomorrow.""","[('angry', 'SENTIMENT_INDICATOR'), ('HR', 'ORG'), ('cut bonuses', 'SENTIMENT_INDICATOR'), ('payroll system', 'TECH_ASSET'), ('access', 'SUSPICIOUS_BEHAVIOR'), (""Let's see who's laughing tomorrow"", 'SUSPICIOUS_BEHAVIOR')]",malicious,90,372,U018,2025-03-01 10:55:00,Positive,No
"""My migraine is killing me today but I still need to finish reviewing these customer credit card files before I leave for my new job next week. #StressedOut""","[('migraine', 'MEDICAL_CONDITION'), ('customer credit card', 'SENSITIVE_INFO'), ('new job', 'SUSPICIOUS_BEHAVIOR'), ('#StressedOut', 'SENTIMENT_INDICATOR')]",malicious,85,373,U018,2025-03-01 09:55:00,Positive,No
"""Working from my apartment tonight. Had to VPN into the network and download some files for the Johnson project. Deadline is tomorrow!""","[('apartment', 'LOC'), ('tonight', 'TIME_ANOMALY'), ('VPN', 'TECH_ASSET'), ('network', 'TECH_ASSET'), ('download', 'SUSPICIOUS_BEHAVIOR'), ('Johnson project', 'ORG')]",non-malicious,35,374,U019,2025-03-01 11:09:00,Negative,No
